species,rep_taxid,organism_name,nirK_present,pcuac_present,nirK_rep_accession,pcuac_rep_accession,class
novosphingobium bradum,1737444,Novosphingobium bradum,0,1,N/A,WP_379510844.1,pcuac_only
novosphingobium jiangmenense,2791981,Novosphingobium jiangmenense,0,1,N/A,WP_196274476.1,pcuac_only
novosphingobium mangrovisedimenti,2976432,Novosphingobium mangrovisedimenti,0,1,N/A,WP_260043573.1,pcuac_only
novosphingobium olei,2728851,Novosphingobium olei,0,1,N/A,WP_338114864.1,pcuac_only
novosphingobium ovatum,1908523,Novosphingobium ovatum,0,1,N/A,WP_161718974.1,pcuac_only
novosphingobium pokkalii,1770194,Novosphingobium pokkalii,0,1,N/A,WP_191326287.1,pcuac_only
novosphingobium rhizosphaerae,1551649,Novosphingobium rhizosphaerae,0,1,N/A,WP_432788092.1,pcuac_only
novosphingobium sp.,2849500,Novosphingobium sp. G106,1,1,WP_217407724.1,WP_240946674.1,both
novosphingobium subterraneum,48936,Novosphingobium subterraneum;Novosphingobium subterraneum NBRC 16086,0,1,N/A,WP_039331088.1,pcuac_only
nucisporomicrobium flavum,2785915,Nucisporomicrobium flavum,1,1,WP_423436897.1,WP_199515064.1,both
occultella aeris,2761496,Occultella aeris,1,0,WP_156739188.1,N/A,nirK_only
occultella glacieicola,2518684,Occultella glacieicola,1,0,WP_133109854.1,N/A,nirK_only
occultella gossypii,2800820,Occultella gossypii,1,0,WP_223409019.1,N/A,nirK_only
occultella kanbiaonis,2675754,Occultella kanbiaonis,1,0,WP_235939917.1,N/A,nirK_only
oceanibacterium hippocampi,745714,Oceanibacterium hippocampi,0,1,N/A,WP_085882336.1,pcuac_only
oceanibaculum indicum,526216,Oceanibaculum indicum;Oceanibaculum indicum P24,0,1,N/A,WP_008946154.1,pcuac_only
oceanibaculum nanhaiense,1909734,Oceanibaculum nanhaiense,1,1,WP_086466090.1,WP_289594244.1,both
oceanibaculum oceanibaculum,659693,Oceanibaculum;Oceanibaculum sp.;Oceanibaculum nanhaiense,0,1,N/A,WP_086463991.1,pcuac_only
oceanibaculum pacificum,580166,Oceanibaculum pacificum,1,1,WP_067560161.1,WP_067552582.1,both
oceanibaculum sp.,1903597,Oceanibaculum sp.,1,1,WP_287779328.1,WP_287779976.1,both
oceanibium sediminis,2026339,Oceanibium sediminis,0,1,N/A,WP_112324252.1,pcuac_only
oceanicaulis alexandrii,153233,Oceanicaulis alexandrii,0,1,N/A,WP_273144293.1,pcuac_only
oceanicaulis sp.,1947007,Oceanicaulis sp. UBA2681,0,1,N/A,WP_273019827.1,pcuac_only
oceanicella actignis,1189325,Oceanicella actignis,0,1,N/A,WP_072747331.1,pcuac_only
oceanicella sp.,2213002,Oceanicella sp.,0,1,N/A,WP_479495077.1,pcuac_only
oceanicoccus sagamiensis,716816,Oceanicoccus sagamiensis,0,1,N/A,WP_240554893.1,pcuac_only
oceanicoccus sp.,1904639,Oceanicoccus sp. KOV_DT_Chl,0,1,N/A,WP_235015395.1,pcuac_only
oceanicola granulosus,252302,Oceanicola granulosus;Oceanicola granulosus HTCC2516,0,1,N/A,WP_007254614.1,pcuac_only
oceanicola sp.,1317116,Oceanicola sp. 22II-s10i,1,1,WP_088626377.1,WP_254919097.1,both
oceaniglobus ichthyenteri,2136177,Oceaniglobus ichthyenteri,1,0,WP_420818879.1,N/A,nirK_only
oceaniglobus indicus,2047749,Oceaniglobus indicus,0,1,N/A,WP_241523998.1,pcuac_only
oceaniglobus sp.,3092130,Oceaniglobus sp. K40-3,1,0,WP_473434556.1,N/A,nirK_only
oceaniglobus trochenteri,2763260,Oceaniglobus trochenteri,1,1,WP_226779927.1,WP_226779065.1,both
oceanihabitans sediminis,1812012,Oceanihabitans sediminis,1,0,WP_072352106.1,N/A,nirK_only
oceanimonas aquatica,3068186,Oceanimonas aquatica,1,1,WP_306078486.1,WP_306080471.1,both
oceanimonas baumannii,129578,Oceanimonas baumannii,1,1,WP_417604217.1,WP_417606095.1,both
oceanimonas doudoroffii,84158,Oceanimonas doudoroffii,1,1,WP_094199520.1,WP_094201612.1,both
oceanimonas marisflavi,2059724,Oceanimonas marisflavi,1,1,WP_107851100.1,WP_107852300.1,both
oceanimonas oceanimonas,129577,Oceanimonas;Oceanimonas smirnovii;Oceanimonas sp. AH20CE76,0,1,N/A,WP_346351463.1,pcuac_only
oceanimonas pelagia,3028314,Oceanimonas pelagia,1,1,WP_306762782.1,WP_306762153.1,both
oceanimonas smirnovii,264574,Oceanimonas smirnovii,1,1,WP_418139253.1,WP_395545075.1,both
oceanimonas sp.,511062,Oceanimonas sp. GK1,1,1,WP_014292996.1,WP_165662041.1,both
oceaniovalibus guishaninsula,1046117,Oceaniovalibus guishaninsula;Oceaniovalibus guishaninsula JLT2003,1,1,WP_007426219.1,WP_007427073.1,both
oceaniovalibus sp.,2599923,Oceaniovalibus sp. ACAM 378,1,1,WP_148469771.1,WP_148473670.1,both
oceaniradius stylonematis,2184161,Oceaniradius stylonematis,1,1,WP_375566151.1,WP_424993247.1,both
oceaniserpentilla sp.,3127660,Oceaniserpentilla sp. 4NH20-0058,0,1,N/A,WP_353348912.1,pcuac_only
oceanisphaera arctica,641510,Oceanisphaera arctica,1,1,WP_104486967.1,WP_104485800.1,both
oceanisphaera avium,1903694,Oceanisphaera avium,1,1,WP_086963652.1,WP_086964645.1,both
oceanisphaera litoralis,225144,Oceanisphaera litoralis,1,1,WP_204795447.1,WP_204795941.1,both
oceanisphaera marina,2017550,Oceanisphaera marina,1,1,WP_188628114.1,WP_188629660.1,both
oceanisphaera ostreae,914151,Oceanisphaera ostreae,1,1,WP_379556947.1,WP_379558620.1,both
oceanisphaera pacifica,2818389,Oceanisphaera pacifica,1,1,WP_208005934.1,WP_208005976.1,both
oceanisphaera profunda,1416627,Oceanisphaera profunda,1,1,WP_087037752.1,WP_087036632.1,both
oceanisphaera psychrotolerans,1414654,Oceanisphaera psychrotolerans,1,1,WP_071472575.1,WP_071472357.1,both
oceanisphaera sediminis,981381,Oceanisphaera sediminis,1,1,WP_344963483.1,WP_344964349.1,both
oceanisphaera sp.,3240267,Oceanisphaera sp. W20_SRM_FM3,1,1,WP_442019932.1,WP_319783133.1,both
oceanisphaera submarina,3390193,Oceanisphaera submarina,1,1,WP_410457514.1,WP_410456946.1,both
oceanitalea stevensii,2763072,Oceanitalea stevensii,1,0,WP_251840172.1,N/A,nirK_only
oceanobacillus bengalensis,1435466,Oceanobacillus bengalensis,1,0,WP_121131980.1,N/A,nirK_only
oceanobacillus caeni,405946,Oceanobacillus caeni,1,0,WP_328150238.1,N/A,nirK_only
oceanobacillus damuensis,937928,Oceanobacillus damuensis,1,0,WP_067727433.1,N/A,nirK_only
oceanobacillus halophilus,930130,Oceanobacillus halophilus,1,0,WP_121206140.1,N/A,nirK_only
oceanobacillus halotolerans,2663380,Oceanobacillus halotolerans,1,0,WP_163970529.1,N/A,nirK_only
oceanobacillus limi,930131,Oceanobacillus limi,1,0,WP_244513423.1,N/A,nirK_only
oceanobacillus longus,930120,Oceanobacillus longus,1,0,WP_379494944.1,N/A,nirK_only
oceanobacillus massiliensis,1465765,Oceanobacillus massiliensis,1,0,WP_337019522.1,N/A,nirK_only
oceanobacillus salinisoli,2678611,Oceanobacillus salinisoli,1,0,WP_156288630.1,N/A,nirK_only
oceanobacillus saliphilus,2925834,Oceanobacillus saliphilus,1,0,WP_249872107.1,N/A,nirK_only
oceanobacillus sp.,3373080,Oceanobacillus sp. CF4.6,1,0,WP_435762062.1,N/A,nirK_only
oceanobacter antarcticus,3133425,Oceanobacter antarcticus,0,1,N/A,WP_416204837.1,pcuac_only
oceanobacter kriegii,64972,Oceanobacter kriegii;Oceanobacter kriegii DSM 6294,0,1,N/A,WP_051219176.1,pcuac_only
oceanobacter mangrovi,2862510,Oceanobacter mangrovi,0,1,N/A,WP_221800221.1,pcuac_only
oceanobacter sp.,3062645,Oceanobacter sp. 5_MG-2023,0,1,N/A,WP_303431784.1,pcuac_only
oceanococcus atlanticus,1317117,Oceanococcus atlanticus,0,1,N/A,WP_083563485.1,pcuac_only
oceanomicrobium pacificus,2692916,Oceanomicrobium pacificus,1,1,WP_160856403.1,WP_160856182.1,both
oceanospirillum beijerinckii,64976,Oceanospirillum beijerinckii;Oceanospirillum beijerinckii DSM 7166,0,1,N/A,WP_028299930.1,pcuac_only
oceanospirillum linum,966,Oceanospirillum linum,0,1,N/A,WP_078320513.1,pcuac_only
oceanospirillum maris,64977,Oceanospirillum maris;Oceanospirillum maris DSM 6286,0,1,N/A,WP_028303018.1,pcuac_only
oceanospirillum multiglobuliferum,64969,Oceanospirillum multiglobuliferum,0,1,N/A,WP_078746493.1,pcuac_only
oceanospirillum sanctuarii,1434821,Oceanospirillum sanctuarii,0,1,N/A,WP_086480047.1,pcuac_only
oceanospirillum sediminis,2760088,Oceanospirillum sediminis,0,1,N/A,WP_182808311.1,pcuac_only
oceanospirillum sp.,2021254,Oceanospirillum sp.,0,1,N/A,WP_417596232.1,pcuac_only
ochrobactrum chromiisoli,2993941,Ochrobactrum chromiisoli,1,1,WP_265986479.1,WP_265982640.1,both
ochrobactrum ochrobactrum,528,Ochrobactrum;Ochrobactrum quorumnocens;Ochrobactrum sp. AN78,1,0,WP_318579613.1,N/A,nirK_only
ochrobactrum quorumnocens,271865,Ochrobactrum quorumnocens,0,1,N/A,WP_404902059.1,pcuac_only
ochrobactrum soli,2448455,Ochrobactrum soli,0,1,N/A,WP_171316893.1,pcuac_only
ochrobactrum sp.,2761105,Ochrobactrum sp. Marseille-Q0166,1,1,WP_187548959.1,WP_339510596.1,both
ochrobactrum teleogrylli,2479765,Ochrobactrum teleogrylli,0,1,N/A,WP_449414795.1,pcuac_only
ochrobactrum vermis,1827297,Ochrobactrum vermis,1,1,WP_105541590.1,WP_105540799.1,both
octadecabacter algicola,2909342,Octadecabacter algicola,0,1,N/A,WP_235261135.1,pcuac_only
octadecabacter antarcticus,391626,Octadecabacter antarcticus 307;Octadecabacter antarcticus,1,1,WP_015498500.1,WP_015501131.1,both
octadecabacter arcticus,53946,Octadecabacter arcticus;Octadecabacter arcticus 238,0,1,N/A,WP_015496329.1,pcuac_only
octadecabacter ascidiaceicola,1655543,Octadecabacter ascidiaceicola,0,1,N/A,WP_093995356.1,pcuac_only
octadecabacter dasysiphoniae,2909341,Octadecabacter dasysiphoniae,0,1,N/A,WP_235226814.1,pcuac_only
octadecabacter sp.,2602067,Octadecabacter sp. SW4,0,1,N/A,WP_148054713.1,pcuac_only
octadecabacter temperatus,1458307,Octadecabacter temperatus,0,1,N/A,WP_049835123.1,pcuac_only
oculatella sp.,1828648,Oculatella sp. LEGE 06141,1,0,WP_193878404.1,N/A,nirK_only
oerskovia douganii,2762210,Oerskovia douganii,1,0,WP_321575346.1,N/A,nirK_only
oerskovia enterophila,43678,Oerskovia enterophila,1,1,WP_452489960.1,WP_354508062.1,both
oerskovia gallyi,2762226,Oerskovia gallyi,0,1,N/A,WP_191790120.1,pcuac_only
oerskovia jenensis,162169,Oerskovia jenensis,1,1,WP_387485256.1,WP_387481559.1,both
oerskovia merdavium,2762227,Oerskovia merdavium,1,1,WP_318244511.1,WP_191805390.1,both
oerskovia paurometabola,162170,Oerskovia paurometabola,1,1,WP_400273264.1,WP_364078080.1,both
oerskovia rustica,2762237,Oerskovia rustica,1,1,WP_318244054.1,WP_191796073.1,both
oerskovia sp.,3346280,Oerskovia sp. NPDC057915,1,1,WP_387641126.1,WP_387641623.1,both
oerskovia turbata,1713,Oerskovia turbata,1,0,WP_240666179.1,N/A,nirK_only
oharaeibacter diazotrophicus,1920512,Oharaeibacter diazotrophicus,1,1,WP_476180402.1,WP_126541530.1,both
okeania okeania,1458928,Okeania;Okeania hirsuta;Okeania sp. SIO1H2;Okeania sp. SIO1H4;Okeania sp. SIO1H5;Okeania sp. SIO2B9;Okeania sp. SIO1F9,1,0,WP_338043167.1,N/A,nirK_only
okeania sp.,3470679,Okeania sp. BLCC-M348,1,0,WP_485967839.1,N/A,nirK_only
okeanomitos corallinicola,3133117,Okeanomitos corallinicola TIOX110;Okeanomitos corallinicola,1,0,WP_353931041.1,N/A,nirK_only
oleiagrimonas citrea,1665687,Oleiagrimonas citrea,0,1,N/A,WP_168608360.1,pcuac_only
oleiagrimonas soli,1543381,Oleiagrimonas soli,0,1,N/A,WP_043100171.1,pcuac_only
oleiagrimonas sp.,2010330,Oleiagrimonas sp.,1,1,WP_298069064.1,WP_167173778.1,both
oleiharenicola lentus,2508720,Oleiharenicola lentus,1,0,WP_129046542.1,N/A,nirK_only
oleiharenicola sp.,3398393,Oleiharenicola sp. Vm1,1,0,WP_415909650.1,N/A,nirK_only
oleiphilus messinensis,141451,Oleiphilus messinensis,0,1,N/A,WP_087463762.1,pcuac_only
oleiphilus sp.,1822242,Oleiphilus sp. HI0066;Oleiphilus sp. HI0067;Oleiphilus sp. HI0125;unclassified Oleiphilus,0,1,N/A,WP_068501638.1,pcuac_only
oleisolibacter albus,2171757,Oleisolibacter albus,0,1,N/A,WP_240002522.1,pcuac_only
oleispirillum naphthae,2838853,Oleispirillum naphthae,0,1,N/A,WP_337997484.1,pcuac_only
oleomonas cavernae,2320859,Oleomonas cavernae,0,1,N/A,WP_199699243.1,pcuac_only
oligella oligella,90243,Oligella;Oligella urethralis;Oligella sp. HMSC05A10;Oligella sp. HMSC09E12,1,0,WP_048768124.1,N/A,nirK_only
oligella sp.,3139409,Oligella sp. MSHR50489EDL,1,0,WP_432786600.1,N/A,nirK_only
oligella ureolytica,90244,Oligella ureolytica;Oligella ureolytica DSM 18253,1,0,WP_018573540.1,N/A,nirK_only
oligella urethralis,90245,Oligella urethralis;Oligella urethralis DSM 7531,1,0,WP_018025983.1,N/A,nirK_only
oligoflexus sp.,1971216,Oligoflexus sp.,1,0,WP_324958608.1,N/A,nirK_only
oligoflexus tunisiensis,708132,Oligoflexus tunisiensis,1,0,WP_141735102.1,N/A,nirK_only
ollibium composti,2675109,Ollibium composti,1,1,WP_230978869.1,WP_136359982.1,both
onishia taeanensis,284577,Onishia taeanensis,0,1,N/A,WP_458524413.1,pcuac_only
opacimonas viscosa,2961944,Opacimonas viscosa,0,1,N/A,WP_254099559.1,pcuac_only
opitutus terrae,107709,Opitutus terrae;Opitutus terrae PB90-1,1,0,WP_012373845.1,N/A,nirK_only
oricola cellulosilytica,1429082,Oricola cellulosilytica,1,1,WP_131569766.1,WP_131568287.1,both
oricola indica,2872591,Oricola indica,1,0,WP_223476565.1,N/A,nirK_only
oricola nitratireducens,2775868,Oricola nitratireducens,1,1,WP_193175316.1,WP_193177196.1,both
oricola sp.,1979950,Oricola sp.,1,1,WP_370321926.1,WP_421851917.1,both
oricola thermophila,2742145,Oricola thermophila,1,1,WP_175276543.1,WP_175277194.1,both
orientia tsutsugamushi,784,Orientia tsutsugamushi,0,1,N/A,WP_371219669.1,pcuac_only
ornithinibacillus californiensis,161536,Ornithinibacillus californiensis;Ornithinibacillus;Ornithinibacillus contaminans,1,0,WP_047982427.1,N/A,nirK_only
ornithinibacillus caprae,2678566,Ornithinibacillus caprae,1,0,WP_155669070.1,N/A,nirK_only
ornithinibacillus gellani,2293253,Ornithinibacillus gellani,1,0,WP_123316310.1,N/A,nirK_only
ornithinibacillus halophilus,930117,Ornithinibacillus halophilus,1,0,WP_143155599.1,N/A,nirK_only
ornithinibacillus halotolerans,1274357,Ornithinibacillus halotolerans,1,0,WP_188384342.1,N/A,nirK_only
ornithinibacter aureus,622664,Ornithinibacter aureus,1,1,WP_159902447.1,WP_159902351.1,both
ornithinibacter sp.,2862748,Ornithinibacter sp.,1,1,WP_486657623.1,WP_486657849.1,both
ornithinicoccus hortensis,82346,Ornithinicoccus hortensis,1,0,WP_141783520.1,N/A,nirK_only
ornithinicoccus sp.,2024428,Ornithinicoccus sp.,1,0,WP_484205179.1,N/A,nirK_only
ornithinimicrobium avium,2283195,Ornithinimicrobium avium,1,0,WP_114928296.1,N/A,nirK_only
ornithinimicrobium carbonis,3416666,Ornithinimicrobium carbonis,1,0,WP_431473252.1,N/A,nirK_only
ornithinimicrobium cavernae,2666047,Ornithinimicrobium cavernae,1,0,WP_109471288.1,N/A,nirK_only
ornithinimicrobium cerasi,2248773,Ornithinimicrobium cerasi,1,0,WP_097188665.1,N/A,nirK_only
ornithinimicrobium ciconiae,2594265,Ornithinimicrobium ciconiae,1,0,WP_143783380.1,N/A,nirK_only
ornithinimicrobium cryptoxanthini,2934161,Ornithinimicrobium cryptoxanthini,1,0,WP_256841638.1,N/A,nirK_only
ornithinimicrobium faecis,2934158,Ornithinimicrobium faecis,1,0,WP_252595638.1,N/A,nirK_only
ornithinimicrobium flavum,1288636,Ornithinimicrobium flavum,1,0,WP_338043815.1,N/A,nirK_only
ornithinimicrobium humiphilum,125288,Ornithinimicrobium humiphilum,1,0,WP_141821092.1,N/A,nirK_only
ornithinimicrobium jinqii,3378801,Ornithinimicrobium jinqii,1,0,WP_405031980.1,N/A,nirK_only
ornithinimicrobium kibberense,282060,Ornithinimicrobium kibberense,1,0,WP_377466588.1,N/A,nirK_only
ornithinimicrobium murale,1050153,Ornithinimicrobium murale,1,0,WP_114907545.1,N/A,nirK_only
ornithinimicrobium panacihumi,2008449,Ornithinimicrobium panacihumi,1,0,WP_441189171.1,N/A,nirK_only
ornithinimicrobium pekingense,384677,Ornithinimicrobium pekingense;Ornithinimicrobium pekingense DSM 21552,1,0,WP_022922694.1,N/A,nirK_only
ornithinimicrobium pratense,2593973,Ornithinimicrobium pratense,1,0,WP_158062364.1,N/A,nirK_only
ornithinimicrobium pulveris,3405419,Ornithinimicrobium pulveris,1,0,WP_420748659.1,N/A,nirK_only
ornithinimicrobium sediminis,2904603,Ornithinimicrobium sediminis,1,0,WP_232747031.1,N/A,nirK_only
ornithinimicrobium sp.,1904966,Ornithinimicrobium sp. CNJ-824,1,1,WP_342447076.1,WP_235246087.1,both
ornithinimicrobium sufpigmenti,2508882,Ornithinimicrobium sufpigmenti,1,0,WP_131106139.1,N/A,nirK_only
ornithinimicrobium tianjinense,1195761,Ornithinimicrobium tianjinense,1,0,WP_308642589.1,N/A,nirK_only
orrella daihaiensis,2782176,Orrella daihaiensis,0,1,N/A,WP_243479507.1,pcuac_only
orrella dioscoreae,1851544,Orrella dioscoreae,1,1,WP_067755591.1,WP_067754096.1,both
orrella marina,2163011,Orrella marina,0,1,N/A,WP_108619923.1,pcuac_only
orrella sp.,3409913,Orrella sp. 11846,1,1,WP_420661378.1,WP_336061074.1,both
oryzibacter oryziterrae,2766474,Oryzibacter oryziterrae,0,1,N/A,WP_237155037.1,pcuac_only
oryzicola mucosus,2767425,Oryzicola mucosus,0,1,N/A,WP_188165706.1,pcuac_only
oryzifoliimicrobium ureilyticum,3113724,Oryzifoliimicrobium ureilyticum,0,1,N/A,WP_337270799.1,pcuac_only
oryzisolibacter propanilivorax,1527607,Oryzisolibacter propanilivorax,0,1,N/A,WP_091570398.1,pcuac_only
oryzobacter faecalis,3388656,Oryzobacter faecalis,1,0,WP_411940144.1,N/A,nirK_only
oryzomicrobium sp.,1911578,Oryzomicrobium sp.,0,1,N/A,WP_334157495.1,pcuac_only
oryzomicrobium terrae,1735038,Oryzomicrobium terrae,0,1,N/A,WP_149425739.1,pcuac_only
oscillatoria salina,331517,Oscillatoria salina;Oscillatoria salina IICB1,1,0,WP_397334000.1,N/A,nirK_only
oscillatoria sp.,2692847,Oscillatoria sp. FACHB-1407,1,0,WP_190512171.1,N/A,nirK_only
oscillatoriophycideae planktothrix,1301283,Oscillatoriophycideae;Planktothrix sp. FACHB-1355;Aerosakkonema funiforme FACHB-1375,1,0,WP_190465011.1,N/A,nirK_only
oscillochloris sp.,2866714,Oscillochloris sp. ZM17-4,0,1,N/A,WP_220593678.1,pcuac_only
ostreibacterium oceani,2654998,Ostreibacterium oceani,0,1,N/A,WP_218110515.1,pcuac_only
ostreiculturibacter nitratireducens,3075226,Ostreiculturibacter nitratireducens,0,1,N/A,WP_343079854.1,pcuac_only
ottowia beijingensis,1207057,Ottowia beijingensis,1,1,WP_180551018.1,WP_333708029.1,both
ottowia caeni,2870339,Ottowia caeni,0,1,N/A,WP_231693539.1,pcuac_only
ottowia cancrivicina,3040346,Ottowia cancrivicina,1,1,WP_279523340.1,WP_279524120.1,both
ottowia flava,2675430,Ottowia flava,0,1,N/A,WP_147912642.1,pcuac_only
ottowia massiliensis,2045302,Ottowia massiliensis,1,0,WP_102282934.1,N/A,nirK_only
ottowia oryzae,2109914,Ottowia oryzae,1,1,WP_245896335.1,WP_448255018.1,both
ottowia pentelensis,511108,Ottowia pentelensis,1,1,WP_447648680.1,WP_377614543.1,both
ottowia sp.,1898956,Ottowia sp.,1,1,WP_324403289.1,WP_324431016.1,both
ottowia testudinis,2816950,Ottowia testudinis,0,1,N/A,WP_208008886.1,pcuac_only
ottowia thiooxydans,219182,Ottowia thiooxydans;Ottowia thiooxydans DSM 14619,0,1,N/A,WP_028601006.1,pcuac_only
ovoidimarina sediminis,3079856,Ovoidimarina sediminis,0,1,N/A,WP_316647450.1,pcuac_only
oxalicibacterium faecigallinarum,573741,Oxalicibacterium faecigallinarum,0,1,N/A,WP_188381348.1,pcuac_only
oxalicibacterium flavum,179467,Oxalicibacterium flavum,0,1,N/A,WP_188394658.1,pcuac_only
oxalicibacterium solurbis,69280,Oxalicibacterium solurbis,0,1,N/A,WP_188419799.1,pcuac_only
oxalicibacterium sp.,2766525,Oxalicibacterium sp.,0,1,N/A,WP_486244454.1,pcuac_only
oxalobacteraceae affinundibacterium,2762298,Oxalobacteraceae;Affinundibacterium nitidum;Undibacterium sp. LX40W,0,1,N/A,WP_230404269.1,pcuac_only
oxalobacteraceae cognatundibacterium,75682,Oxalobacteraceae;Cognatundibacterium aquatile;Undibacterium sp. CY21W;Undibacterium sp. FT79W,1,0,WP_223827070.1,N/A,nirK_only
oxalobacteraceae herbaspirillum,2567936,Oxalobacteraceae;Herbaspirillum sp. ST 5-3;Noviherbaspirillum sp. ST 5-3,0,1,N/A,WP_136413337.1,pcuac_only
oxalobacteraceae janthinobacterium,75682,Oxalobacteraceae;Janthinobacterium sp. HH01;Rugamonas rivuli,0,1,N/A,WP_008447807.1,pcuac_only
oxalobacteraceae noviherbaspirillum,2567936,Oxalobacteraceae;Noviherbaspirillum sp.;Herbaspirillum sp. ST 5-3,1,0,WP_247869485.1,N/A,nirK_only
pacificibacter marinus,658057,Pacificibacter marinus,1,1,WP_085849790.1,WP_085847099.1,both
pacificibacter maritimus,762213,Pacificibacter maritimus,0,1,N/A,WP_123793113.1,pcuac_only
pacificibacter sp.,3135785,Pacificibacter sp. AS14,0,1,N/A,WP_342855878.1,pcuac_only
pacificispira sp.,2888761,Pacificispira sp.,0,1,N/A,WP_420420292.1,pcuac_only
pacificispira spongiicola,2729598,Pacificispira spongiicola,0,1,N/A,WP_169623816.1,pcuac_only
pacificoceanicola onchidii,2562685,Pacificoceanicola onchidii,0,1,N/A,WP_136440796.1,pcuac_only
paenacidovorax caeni,343013,Paenacidovorax caeni,0,1,N/A,WP_054255988.1,pcuac_only
paenacidovorax monticola,1926868,Paenacidovorax monticola,0,1,N/A,WP_187734965.1,pcuac_only
paenalcaligenes faecalis,2980099,Paenalcaligenes faecalis,0,1,N/A,WP_269901346.1,pcuac_only
paenalcaligenes hominis,643674,Paenalcaligenes hominis,0,1,N/A,WP_371017013.1,pcuac_only
paenalcaligenes paenalcaligenes,1100891,Paenalcaligenes;Paenalcaligenes hermetiae;Paenalcaligenes sp.,0,1,N/A,WP_300646754.1,pcuac_only
paenalicyclobacillus cellulosilyticus,1003997,Paenalicyclobacillus cellulosilyticus,1,0,WP_188882190.1,N/A,nirK_only
paenalicyclobacillus cycloheptanicus,1457,Paenalicyclobacillus cycloheptanicus,1,0,WP_274455548.1,N/A,nirK_only
paenalicyclobacillus herbarius,122960,Paenalicyclobacillus herbarius;Alicyclobacillus herbarius DSM 13609,1,0,WP_051344214.1,N/A,nirK_only
paenalicyclobacillus kakegawensis,392012,Paenalicyclobacillus kakegawensis;Alicyclobacillus kakegawensis NBRC 103104,1,0,WP_067932308.1,N/A,nirK_only
paenalicyclobacillus macrosporangiidus,392015,Paenalicyclobacillus macrosporangiidus,1,0,WP_303798151.1,N/A,nirK_only
paenalicyclobacillus shizuokensis,392014,Paenalicyclobacillus shizuokensis;Alicyclobacillus shizuokensis NBRC 103103,1,0,WP_067922633.1,N/A,nirK_only
paenarthrobacter histidinolovorans,43664,Paenarthrobacter histidinolovorans,0,1,N/A,WP_229785354.1,pcuac_only
paenarthrobacter nicotinovorans,29320,Paenarthrobacter nicotinovorans,0,1,N/A,WP_064722885.1,pcuac_only
paenarthrobacter nitroguajacolicus,211146,Paenarthrobacter nitroguajacolicus,1,1,WP_244296761.1,WP_244296699.1,both
paenarthrobacter sp.,3364386,Paenarthrobacter sp. NPDC092416,1,1,WP_400286467.1,WP_434373341.1,both
paenarthrobacter ureafaciens,37931,Paenarthrobacter ureafaciens,1,1,WP_278609697.1,WP_471766647.1,both
paenibacillus aceris,869555,Paenibacillus aceris,1,0,WP_167057552.1,N/A,nirK_only
paenibacillus agaridevorans,171404,Paenibacillus agaridevorans,1,0,WP_425517555.1,N/A,nirK_only
paenibacillus agilis,3020863,Paenibacillus agilis,1,0,WP_144993149.1,N/A,nirK_only
paenibacillus agri,2744309,Paenibacillus agri,1,0,WP_175370559.1,N/A,nirK_only
paenibacillus agricola,2716264,Paenibacillus agricola,1,0,WP_166144386.1,N/A,nirK_only
paenibacillus alba,1197127,Paenibacillus alba,1,0,WP_326071035.1,N/A,nirK_only
paenibacillus albiflavus,2545760,Paenibacillus albiflavus,1,0,WP_407944824.1,N/A,nirK_only
paenibacillus alginolyticus,59839,Paenibacillus alginolyticus,1,0,WP_459213661.1,N/A,nirK_only
paenibacillus algorifonticola,684063,Paenibacillus algorifonticola,1,0,WP_231594361.1,N/A,nirK_only
paenibacillus alkaliterrae,320909,Paenibacillus alkaliterrae,1,0,WP_235241595.1,N/A,nirK_only
paenibacillus alkalitolerans,2799335,Paenibacillus alkalitolerans,1,0,WP_199615159.1,N/A,nirK_only
paenibacillus allorhizoplanae,2905648,Paenibacillus allorhizoplanae,1,0,WP_236284523.1,N/A,nirK_only
paenibacillus allorhizosphaerae,2849866,Paenibacillus allorhizosphaerae,1,0,WP_218103088.1,N/A,nirK_only
paenibacillus alvei,44250,Paenibacillus alvei,1,0,WP_232055805.1,N/A,nirK_only
paenibacillus amylolyticus,1451,Paenibacillus amylolyticus,1,0,WP_430211783.1,N/A,nirK_only
paenibacillus andongensis,2975482,Paenibacillus andongensis,1,0,WP_261305466.1,N/A,nirK_only
paenibacillus antibioticophila,1274374,Paenibacillus antibioticophila,1,0,WP_233500673.1,N/A,nirK_only
paenibacillus antri,2582848,Paenibacillus antri,1,0,WP_138195703.1,N/A,nirK_only
paenibacillus apiarius,46240,Paenibacillus apiarius,1,0,WP_206095694.1,N/A,nirK_only
paenibacillus apii,1850370,Paenibacillus apii,1,0,WP_165093129.1,N/A,nirK_only
paenibacillus apis,1792174,Paenibacillus apis,1,0,WP_301630371.1,N/A,nirK_only
paenibacillus arenilitoris,2772299,Paenibacillus arenilitoris,1,0,WP_190858420.1,N/A,nirK_only
paenibacillus arenosi,2774142,Paenibacillus arenosi,1,0,WP_192027333.1,N/A,nirK_only
paenibacillus assamensis,311244,Paenibacillus assamensis;Paenibacillus assamensis DSM 18201,1,0,WP_028596793.1,N/A,nirK_only
paenibacillus athensensis,1967502,Paenibacillus athensensis,1,0,WP_134752324.1,N/A,nirK_only
paenibacillus auburnensis,2905649,Paenibacillus auburnensis,1,0,WP_236334361.1,N/A,nirK_only
