species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved,nirK_length,nirK_molecular_weight,nirK_isoelectric_point,nirK_gravy,nirK_aromaticity,nirK_aa_frac_A,nirK_aa_frac_C,nirK_aa_frac_D,nirK_aa_frac_E,nirK_aa_frac_F,nirK_aa_frac_G,nirK_aa_frac_H,nirK_aa_frac_I,nirK_aa_frac_K,nirK_aa_frac_L,nirK_aa_frac_M,nirK_aa_frac_N,nirK_aa_frac_P,nirK_aa_frac_Q,nirK_aa_frac_R,nirK_aa_frac_S,nirK_aa_frac_T,nirK_aa_frac_V,nirK_aa_frac_W,nirK_aa_frac_Y,pcuac_length,pcuac_molecular_weight,pcuac_isoelectric_point,pcuac_gravy,pcuac_aromaticity,pcuac_aa_frac_A,pcuac_aa_frac_C,pcuac_aa_frac_D,pcuac_aa_frac_E,pcuac_aa_frac_F,pcuac_aa_frac_G,pcuac_aa_frac_H,pcuac_aa_frac_I,pcuac_aa_frac_K,pcuac_aa_frac_L,pcuac_aa_frac_M,pcuac_aa_frac_N,pcuac_aa_frac_P,pcuac_aa_frac_Q,pcuac_aa_frac_R,pcuac_aa_frac_S,pcuac_aa_frac_T,pcuac_aa_frac_V,pcuac_aa_frac_W,pcuac_aa_frac_Y
thauera phenylacetica,1234382;164400;164400,Thauera phenylacetica,0,1,pcuac_only,NA,WP_004365911.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,13985.28,5.66,0.1679,0.03053,0.12977,0.0,0.06107,0.06107,0.01527,0.0687,0.03817,0.03817,0.0687,0.10687,0.06107,0.0,0.07634,0.03817,0.0229,0.03817,0.0458,0.1145,0.00763,0.00763
ectopseudomonas oleovorans,1182590;1198456;1218129;301;3236654;1215116;301;301,Ectopseudomonas oleovorans,0,1,pcuac_only,NA,WP_004424590.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,15413.65,6.307,-0.1279,0.05714,0.11429,0.0,0.03571,0.07857,0.03571,0.06429,0.06429,0.02143,0.07143,0.11429,0.03571,0.02143,0.06429,0.06429,0.02143,0.02857,0.03571,0.10714,0.00714,0.01429
agrobacterium pusense,1279031;2587039;357;3704093;648995;2420311;357;648995;2870329;357;648995;2945056;357;648995;3041757;357;648995;3128901;357;648995;648995,Agrobacterium pusense,0,1,pcuac_only,NA,WP_004441811.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,14825.09,6.909,0.0549,0.0493,0.11268,0.0,0.05634,0.05634,0.04225,0.12676,0.02817,0.05634,0.09859,0.06338,0.05634,0.02113,0.04225,0.02113,0.01408,0.0493,0.0493,0.09859,0.0,0.00704
rickettsia prowazekii,1105094;1105097;1290428;1290430;449216;782;1105095;1105096;1105098;1105099;1290427;272947;782,Rickettsia prowazekii;Rickettsia prowazekii str. Rp22;Rickettsia prowazekii str. Chernikova;Rickettsia prowazekii str. Dachau;Rickettsia prowazekii str. Breinl;Rickettsia prowazekii str. Cairo 3,0,1,pcuac_only,NA,WP_004597884.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14806.84,9.099,-0.1061,0.09924,0.05344,0.00763,0.06107,0.01527,0.0687,0.0458,0.0229,0.10687,0.07634,0.05344,0.03053,0.12214,0.03053,0.05344,0.0229,0.06107,0.0458,0.0916,0.00763,0.0229
brucella neotomae,29460;520456,Brucella neotomae;Brucella neotomae 5K33,0,1,pcuac_only,NA,WP_004687839.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0.0,0.01408
brucella suis,1567502;29461;520489,Brucella suis;Brucella suis bv. 5 str. 513;Brucella suis bv. 5,0,1,pcuac_only,NA,WP_004689373.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0.0,0.01408
vibrio splendidus,1051645;170679;2056189;246167;2607603;2607606;2607608;29497;662;1191309;29497;1191312;1191313;1516159;2607604;2778641;2778642;2820755;2912255;2942997;29497;2974562;3229653;3229678;3569844;617146;617147;617148;662;1192013;1516159;2912252;29497;662;1803384;29497;662;1903178;2912254;29497;662;2100116;29497;662;212663;29497;446372;662;2760973;29497;3569845;662;29497;29497;3229680;662;29497;3229698;662;29497;3569846;3569848;662;29497;617145,Vibrio splendidus,0,1,pcuac_only,NA,WP_004740439.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14277.29,5.799,-0.018,0.03759,0.12782,0.0,0.06015,0.05263,0.03008,0.06015,0.04511,0.05263,0.06767,0.09023,0.05263,0.03759,0.04511,0.04511,0.01504,0.03759,0.09023,0.08271,0.0,0.00752
bartonella doshiae,1094553;33044;33044,Bartonella doshiae,0,1,pcuac_only,NA,WP_004856163.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,15221.5,6.216,0.0886,0.05714,0.06429,0.0,0.04286,0.06429,0.03571,0.09286,0.03571,0.13571,0.07143,0.07143,0.03571,0.05714,0.05,0.01429,0.02143,0.05714,0.06429,0.06429,0.00714,0.01429
bartonella taylorii,1094560;33046;33046,Bartonella taylorii;Bartonella taylorii 8TBB,0,1,pcuac_only,NA,WP_004858180.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15161.41,6.498,0.0326,0.05674,0.06383,0.0,0.04965,0.04255,0.03546,0.09929,0.03546,0.09929,0.07092,0.07092,0.04965,0.04965,0.05674,0.02128,0.01418,0.05674,0.0922,0.07092,0.00709,0.01418
bartonella vinsonii,1094497;33047;1094502;1408318;33047;1094561;1094562;33047;110577;33047,Bartonella vinsonii;Bartonella vinsonii subsp. vinsonii,0,1,pcuac_only,NA,WP_004862335.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15363.68,6.565,0.034,0.05674,0.05674,0.0,0.04965,0.04255,0.03546,0.07801,0.03546,0.12766,0.07092,0.05674,0.05674,0.06383,0.05674,0.02128,0.01418,0.07801,0.07092,0.06383,0.00709,0.01418
pseudomonas viridiflava,1208100;237306;286;3079590;33069;716914;1357290;33069;136849;33069;450396;55398;2810613;286;3080056;33069;286;3040312;33069;33069,Pseudomonas viridiflava,0,1,pcuac_only,NA,WP_004885080.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14673.06,6.64,0.1179,0.05224,0.12687,0.0,0.05224,0.03731,0.02985,0.0597,0.05224,0.02985,0.0597,0.1194,0.05224,0.01493,0.06716,0.08209,0.02239,0.01493,0.04478,0.11194,0.01493,0.00746
rickettsia sibirica,1130827;272951;35793,Rickettsia sibirica;Rickettsia sibirica 246;Rickettsia sibirica subsp. sibirica BJ-90,0,1,pcuac_only,NA,WP_004998093.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14771.86,9.069,-0.0649,0.09924,0.06107,0.00763,0.0687,0.01527,0.0687,0.03817,0.0229,0.10687,0.08397,0.0458,0.03817,0.1145,0.03053,0.03053,0.0229,0.0687,0.05344,0.0916,0.00763,0.0229
bordetella holmesii,1247644;1247648;1247649;1266729;1281885;1331205;1331206;1331207;1331208;1331209;1331210;1331211;1331212;1331251;1458267;35814,Bordetella holmesii;Bordetella holmesii 30539;Bordetella holmesii 1058;Bordetella holmesii ATCC 51541;Bordetella holmesii F627;Bordetella holmesii H558;Bordetella holmesii CDC-H572-BH;Bordetella holmesii CDC-H585-BH;Bordetella holmesii CDC-H629-BH;Bordetella holmesii CDC-H635-BH;Bordetella holmesii CDC-H643-BH;Bordetella holmesii CDC-H719-BH;Bordetella holmesii CDC-H785-BH;Bordetella holmesii CDC-H809-BH;Bordetella holmesii H620;Bordetella holmesii 04P3421,0,1,pcuac_only,NA,WP_005016840.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,140,14892.82,5.938,-0.0971,0.05714,0.14286,0.0,0.04286,0.08571,0.03571,0.10714,0.03571,0.02857,0.05714,0.07143,0.03571,0.03571,0.04286,0.02143,0.05,0.03571,0.03571,0.11429,0.00714,0.01429
vibrio alginolyticus,1219076;2591012;2591013;2591015;2591017;2778644;2778645;2816074;2819104;2836183;2836435;2836892;2836893;2836894;2836896;2837388;2896365;3074541;3074549;3074553;3074555;3074557;3074559;3074560;3074563;3074564;3074566;3074567;3074568;3074571;3074574;3074575;3074576;3074577;3074580;3074581;3074582;3074583;3074587;3074588;3074592;3074593;3074598;3074603;3074606;3074608;3074610;3074615;3074617;3074620;3074624;3074626;3074628;3074629;3074630;3074631;3074640;3074641;3074642;3074643;3074644;3074646;3074650;3074651;3074653;3074654;3074655;3074659;3074663;3074667;3074673;3074679;3074680;3074681;3074682;3074683;3074687;3074688;3074689;3074691;3074693;3074694;3074695;3074696;3074700;3074701;3074702;3074703;3074705;3074710;3074711;3074713;314288;50719;662;663;1231058;1298600;150340;2007196;2591010;2591018;2766781;2849869;2950154;2950155;2950156;2998827;3035166;3074554;3074622;3074674;3074675;3074676;3074677;3074678;3074698;50719;662;663;1238221;1394551;1394640;1394651;1394655;1394656;1394663;1394701;2992766;3074568;662;663;670;1238231;1394674;1394705;3074563;3074581;3074620;3367172;3367232;3367233;3367238;662;663;670;150340;2527672;2591011;2912261;2929171;2957764;2957765;2957766;2957767;2957768;2998832;3074666;3074708;50719;662;663;1938693;2912256;3074547;3074590;3074668;3074669;3074672;3074706;662;663;2816072;2816073;2835905;2929855;3074543;3074545;3074548;3074569;3074572;3074586;3074591;3074594;3074595;3074596;3074597;3074602;3074604;3074605;3074609;3074611;3074612;3074613;3074614;3074623;3074625;3074632;3074633;3074634;3074639;3074645;3074647;3074648;3074656;3074657;3074658;3074670;3074671;3074709;3074714;3367252;3374281;662;663;2816075;2816076;2957763;3074561;3074570;3074616;3074684;3074685;3074686;3074690;3074692;3074697;3074704;3074707;3074712;662;663;2819103;662;663;2836348;2992765;662;663;3074542;3074544;3074562;3074578;3074584;3074585;662;663;3074546;3074552;3074556;3074565;3074579;3074600;3074638;662;663;3074558;3074649;662;663;3074573;662;663;3074589;3074599;3074627;3074652;662;663;3074607;3074621;3074635;3074699;662;663;3074660;3074661;3074662;662;663;663,Vibrio alginolyticus,0,1,pcuac_only,NA,WP_005375841.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,143,15760.07,6.177,-0.1077,0.05594,0.1049,0.0,0.05594,0.06993,0.04895,0.05594,0.06993,0.08392,0.07692,0.06993,0.04895,0.03497,0.06993,0.02098,0.02098,0.04895,0.04196,0.06993,0.00699,0.0
stenotrophomonas maltophilia,1167641;1336242;2682487;2939415;3077843;3077846;3453956;40323;40324;86188;1183154;40324;1190567;1220593;1449982;2760086;3002752;40323;40324;1235458;2860290;3398457;3398601;3456024;40323;40324;1292134;165438;40324;995085;1292134;2599307;40323;40324;1292134;2975362;40323;40324;1292134;40324;995085;1347912;1347913;40324;1427375;40324;1537778;2508572;3043300;3136771;3447188;3466884;3466885;3466886;3466908;40323;40324;1581082;40323;40324;165438;2975371;2975408;3447185;3447186;40323;40324;165438;3002749;3076046;3377164;3377168;3447195;3447214;3447217;3467514;3469998;3569657;40323;40324;86188;165438;3076048;40323;40324;165438;40324;1663558;3002744;3068322;40323;40324;522373;2040586;2211160;2860290;2975380;3111514;3308998;3398458;3448170;3454438;40323;40324;216778;40323;40324;2183909;3447215;3464187;40323;40324;69392;2859892;40323;40324;2859893;3447212;3475835;40323;40324;2859893;40323;40324;2860290;3050414;3111515;3111516;3156074;3459469;40323;40324;2860290;3071467;3111513;3111517;40324;995085;2860290;3396625;40323;40324;2860290;3706131;40324;995085;2860290;40324;995085;2871169;3377167;40324;995085;2871169;40324;995085;2975365;40323;40324;2975381;40323;40324;2975403;3002751;3076045;3447198;3447202;3447211;3447219;40323;40324;2975423;3076041;3076043;3076044;3077847;3377166;40323;40324;2991425;3002753;40323;40324;3051120;40323;40324;3055079;40323;40324;3076040;3395906;3398463;3447187;3475836;40323;40324;3136773;3466909;3469997;40323;40324;3136784;3136802;3447194;3447196;3447197;3447199;3447209;3447210;40323;40324;69392;3398459;3458629;40323;40324;3398460;3447203;40323;40324;3440737;40324;995085;3447184;3447204;40323;40324;3447190;40323;40324;3447200;3447205;3447207;3447213;40323;40324;3447216;40323;40324;3455201;40323;40324;3465272;391008;40323;40324;3466901;40323;40324;3466906;40323;40324;69392;3469999;40323;40324;3696428;3696429;3696433;3696436;3696437;3696439;40323;40324;391601;40323;40324;40323;40324;69392;40324;40324;487698;995085;40324;868597,Stenotrophomonas maltophilia,0,1,pcuac_only,NA,WP_463272521.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14449.71,9.673,0.3029,0.05072,0.17391,0.0,0.03623,0.02899,0.02174,0.11594,0.04348,0.01449,0.00725,0.1087,0.05797,0.01449,0.06522,0.04348,0.07246,0.03623,0.01449,0.11594,0.01449,0.01449
aliivibrio fischeri,1088719;1298605;617135;668;312309;388396;668;668,Aliivibrio fischeri,0,1,pcuac_only,NA,WP_005423235.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14529.79,6.835,-0.0248,0.06015,0.09774,0.0,0.05263,0.06767,0.05263,0.04511,0.02256,0.05263,0.10526,0.09023,0.06015,0.06015,0.04511,0.0,0.01504,0.07519,0.06767,0.08271,0.0,0.00752
vibrio campbellii,1088888;1224742;680;1088888;680;1206055;680;696485;717610;1224742;680;1279999;2711207;2751177;2836349;2902295;662;680;1279999;680;2751177;662;680;2902295;680;680,Vibrio campbellii,0,1,pcuac_only,NA,WP_005431498.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,144,16042.49,6.29,-0.1479,0.0625,0.09028,0.0,0.05556,0.07639,0.05556,0.05556,0.0625,0.08333,0.09028,0.06944,0.04861,0.02083,0.06944,0.02778,0.02083,0.03472,0.0625,0.06944,0.00694,0.0
vibrio harveyi,1125980;1191522;1206055;1287887;1300145;1344582;190895;2751176;2998835;3020897;3136668;662;669;680;696485;766224;1125980;1191522;669;1219071;1300144;1352943;1769292;2819099;662;669;1219071;669;1229494;1280002;2047825;717610;766224;1280000;3020897;662;669;696485;1287887;669;1300144;1352943;1769292;2998834;662;669;1300145;669;1534743;2835790;2998835;662;669;696485;2998834;662;669;662;669;696485;992012;669;669;696485;717610,Vibrio harveyi,0,1,pcuac_only,NA,WP_005450126.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,144,16020.46,6.29,-0.1181,0.05556,0.08333,0.0,0.05556,0.07639,0.04861,0.04861,0.0625,0.06944,0.09028,0.08333,0.04167,0.02083,0.06944,0.02778,0.02083,0.04167,0.0625,0.09028,0.00694,0.0
vibrio parahaemolyticus,1173954;1238193;1238194;1238195;1238196;1238197;1238198;1238214;1238231;1288780;1288783;1288786;1288791;1288793;1288796;1288797;1394584;1394585;670;745023;1173954;1238194;1238195;1238196;1238197;1238231;1288780;1288783;1288786;1288791;1288793;1288796;1288797;1394584;1394585;670;745023;1173955;670;1173957;1219066;1238192;1238193;1238198;1238199;1238200;1238201;1238202;1238203;1238204;1238205;1238206;1238207;1238208;1238209;1238210;1238211;1238212;1238213;1238214;1238215;1238216;1238217;1238218;1238220;1238223;1238224;1238231;1276919;1287654;1288781;1288784;1288785;1288788;1288790;1338032;1338034;1394553;1394554;1394555;1394556;1394557;1394558;1394559;1394560;1394563;1394565;1394566;1394567;1394568;1394569;1394570;1394571;1394573;1394574;1394575;1394576;1394579;1394580;1394581;1394582;1394583;1394586;1394587;1394590;1394591;1394592;1394595;1394596;1394598;1394599;1394600;1394601;1394602;1394603;1394604;1394605;1394607;1394608;1394609;1394610;1394611;1394612;1394613;1394614;1394615;1394616;1394617;1394618;1394619;1394620;1394621;1394622;1394623;1394624;1394625;1394626;1394627;1394628;1394629;1394630;1394631;1394633;1394634;1394635;1394636;1394637;1394638;1394639;1394641;1394642;1394643;1394644;1394645;1394646;1394647;1394648;1394649;1394650;1394652;1394653;1394657;1394658;1394659;1394660;1394661;1394662;1394664;1394665;1394666;1394667;1394668;1394669;1394670;1394671;1394672;1394675;1394677;1394678;1394679;1394682;1394683;1394684;1394685;1394686;1394687;1394688;1394689;1394690;1394691;1394692;1394694;1394698;1394699;1394702;1394704;1394706;1408165;1408166;1408168;1408169;1408172;1429044;1441607;1441610;1441612;223926;3074567;3074594;3074623;3074625;3367177;3367182;3367189;3367237;3367242;419109;563773;662;670;1173957;1238192;1238202;1394603;1394638;670;1211705;1238231;1365187;1394577;1394578;1394676;670;1211705;1238231;1365187;1394577;1394578;670;1219066;1238231;1287654;1394564;1394572;1394590;1394641;1394645;1394646;1394647;1394648;1394649;1394699;1441612;3367179;419109;662;670;1234128;1394576;670;1234128;670;1238199;1238200;1238201;1238204;1238205;1238206;1238207;1238208;1238209;1238210;1238211;1238212;1238213;1238216;1238217;1238218;1238231;1288781;1288784;1288785;1394553;1394554;1394555;1394556;1394557;1394558;1394559;1394560;1394561;1394562;1394570;1394605;1394606;1394607;1394608;1394609;1394610;1394611;1394612;1394613;1394614;1394615;1394617;1394618;1394619;1394620;1394621;1394622;1394623;1394624;1394625;1394626;1394627;1394628;1394629;1394630;1394631;1394632;1394633;1394634;1394661;1394665;1394667;1394669;1394670;1394671;1394672;1394674;1394675;1394703;1394706;1408165;1408166;1408168;223926;2992766;563773;662;670;1238203;1238220;1238223;1238231;1338032;1338034;1394551;1394567;1394568;1394569;1394573;1394574;1394575;1394579;1394580;1394581;1394582;1394583;1394587;1394594;1394595;1394596;1394597;1394599;1394600;1394601;1394602;1394604;1394616;1394635;1394642;1394643;1394644;1394654;1394655;1394660;1394664;1394666;1394668;1394673;1394677;1394678;1394679;1394680;1394681;1394683;1394684;1394686;1394687;1394688;1394689;1394690;1394691;1394692;1394694;1394695;1394696;1394700;1394702;1408169;1408172;1429044;1441609;1441610;1904359;662;670;1238215;1394698;670;1238221;1238231;670;1238222;670;1238231;1394552;670;1238231;1394564;1394572;1394703;1904359;662;670;1238231;1394588;1394589;670;1238231;1394659;670;1238231;1408173;670;1238231;670;1276919;1394565;670;1288788;1288790;1394586;1408174;670;1394552;670;1394561;1394562;670;1394563;670;1394566;1620393;1620394;662;670;1394571;670;1394591;1394592;1394598;1394652;670;1394593;1394636;1394637;1441607;670;1394593;670;1394594;670;1394597;670;1394632;670;1394639;670;1394640;1394663;670;1394650;670;1394651;1394656;670;1394653;670;1394654;670;1394657;1394658;670;1394662;670;1394673;670;1394676;670;1394681;670;1394682;670;1394685;670;1394695;670;1394696;670;1394697;1441608;670;1394697;670;1394700;670;1394701;670;1394704;670;1394705;670;1408173;670;1408174;670;1441608;670;1441609;670;1620393;1620394;662;670;3074611;662;670;3367172;3367232;3367233;662;670;3367177;3367182;3367189;3367237;3367242;662;670;3367179;662;670;3367238;662;670;670,Vibrio parahaemolyticus,0,1,pcuac_only,NA,WP_005455763.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,143,15811.1,6.024,-0.0986,0.05594,0.1049,0.0,0.05594,0.06993,0.04895,0.05594,0.06993,0.08392,0.06294,0.06993,0.05594,0.03497,0.06294,0.02098,0.02797,0.04196,0.06294,0.06294,0.00699,0.0
vibrio scophthalmi,45658;45658;662;701176;45658;870967,Vibrio scophthalmi,0,1,pcuac_only,NA,WP_005593433.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,14366.29,5.945,-0.0564,0.03759,0.15038,0.0,0.04511,0.06767,0.03008,0.04511,0.08271,0.06015,0.05263,0.08271,0.04511,0.03008,0.06015,0.04511,0.01504,0.04511,0.06015,0.07519,0.0,0.00752
tritonibacter mobilis,1265309;1768241;2083206;379347;1265309;379347;204455;292414;379347;379347,Tritonibacter mobilis,0,1,pcuac_only,NA,WP_065329394.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,137,14250.29,5.023,0.2182,0.0438,0.14599,0.0,0.0438,0.06569,0.0438,0.10219,0.0365,0.0365,0.0365,0.10219,0.07299,0.0365,0.05109,0.0146,0.0219,0.05109,0.07299,0.06569,0.0,0.0
pseudomonas avellanae,1154758;1349821;1420589;1420590;46257;46257,Pseudomonas avellanae,0,1,pcuac_only,NA,WP_005620732.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14643.02,6.744,0.1784,0.05224,0.12687,0.0,0.05224,0.03731,0.02985,0.0597,0.06716,0.04478,0.0597,0.1194,0.04478,0.01493,0.06716,0.06716,0.02239,0.03731,0.01493,0.11194,0.01493,0.00746
marinovum algicola,1250539;1265309;1317121;1768241;204455;2588299;2872037;3028379;3468710;379347;42444;1402135;1852022;28211;42444;555512;591205;2854170;3028382;3450447;42444;60890;3028382;367771;42444;42444,Marinovum algicola;Marinovum;Marinovum sp. PR37,0,1,pcuac_only,NA,WP_005647556.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,133,13613.52,4.629,0.2376,0.03008,0.13534,0.0,0.02256,0.08271,0.01504,0.09774,0.01504,0.03759,0.03759,0.09023,0.05263,0.03759,0.07519,0.01504,0.01504,0.06015,0.09023,0.10526,0.00752,0.00752
massilia timonae,149698;2861282;47229;883126;47229,Massilia timonae,0,1,pcuac_only,NA,WP_005670987.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,131,14049.33,9.005,-0.0198,0.03053,0.1374,0.0,0.03817,0.05344,0.0229,0.05344,0.03053,0.01527,0.08397,0.06107,0.07634,0.00763,0.06107,0.07634,0.0229,0.05344,0.06107,0.1374,0.00763,0.0
pseudomonas ficuserectae,136849;3079592;53410;53707;629260,Pseudomonas ficuserectae;Pseudomonas amygdali pv. lachrymans;Pseudomonas syringae group;Pseudomonas amygdali pv. lachrymans str. M301315;Pseudomonas syringae group sp. 247E2,0,1,pcuac_only,NA,WP_005746687.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14617.88,6.482,0.0754,0.05224,0.13433,0.0,0.05224,0.04478,0.02985,0.05224,0.06716,0.03731,0.0597,0.1194,0.04478,0.02239,0.07463,0.05224,0.02239,0.04478,0.02239,0.09701,0.01493,0.00746
pseudomonas amygdali,129137;47877;129138;47877;251698;34065;53410,Pseudomonas amygdali;Pseudomonas amygdali pv. morsprunorum,0,1,pcuac_only,NA,WP_005753166.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14590.77,6.094,0.1022,0.05224,0.13433,0.0,0.05224,0.04478,0.02985,0.05224,0.06716,0.03731,0.04478,0.1194,0.04478,0.02239,0.07463,0.0597,0.02239,0.04478,0.02985,0.09701,0.01493,0.00746
bartonella bacilliformis,1206782;1293905;1293907;1293908;1293909;774;1293904;1293910;1427331;1427332;1427333;360095;774;1293906;774;1293911;774,Bartonella bacilliformis;Bartonella bacilliformis Ver097,0,1,pcuac_only,NA,WP_005768118.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,136,15041.18,6.644,-0.0978,0.06618,0.04412,0.0,0.05882,0.04412,0.03676,0.08824,0.04412,0.125,0.08088,0.06618,0.03676,0.06618,0.03676,0.02941,0.01471,0.05147,0.08088,0.06618,0.01471,0.01471
bartonella elizabethae,1094554;1094555;807,Bartonella elizabethae;Bartonella elizabethae Re6043vi;Bartonella elizabethae F9251 = ATCC 49927,0,1,pcuac_only,NA,WP_005774394.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15335.5,6.199,-0.0241,0.06383,0.06383,0.0,0.04965,0.04965,0.04255,0.07801,0.03546,0.09929,0.07092,0.06383,0.04255,0.07092,0.05674,0.01418,0.01418,0.05674,0.0922,0.07801,0.00709,0.01418
sagittula stellata,388399;52603,Sagittula stellata;Sagittula stellata E-37,0,1,pcuac_only,NA,WP_005860266.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,138,14359.22,4.581,0.1413,0.05072,0.15942,0.0,0.05797,0.07246,0.04348,0.10145,0.02899,0.02899,0.02174,0.08696,0.06522,0.02174,0.05797,0.01449,0.03623,0.03623,0.08696,0.07246,0.0,0.00725
bartonella alsatica,1094551;52764,Bartonella alsatica;Bartonella alsatica IBS 382,0,1,pcuac_only,NA,WP_005866425.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,141,15518.99,9.226,0.044,0.07092,0.06383,0.0,0.04255,0.04255,0.04965,0.07801,0.04255,0.12766,0.08511,0.06383,0.03546,0.04255,0.06383,0.02837,0.02128,0.04965,0.07801,0.06383,0.00709,0.01418
pseudomonas coronafaciens,129135;136849;200454;251700;129135;53409;136849;200454;235275;235276;235277;251653;251700;53409;563797;83964;251700;53409,Pseudomonas coronafaciens;Pseudomonas coronafaciens pv. zizaniae,0,1,pcuac_only,NA,WP_005888622.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,134,14582.85,6.278,0.1179,0.05224,0.13433,0.0,0.05224,0.05224,0.02985,0.06716,0.06716,0.04478,0.0597,0.11194,0.05224,0.01493,0.0597,0.05224,0.02239,0.04478,0.01493,0.09701,0.01493,0.00746
brucella ovis,1169230;1169231;1169232;1198678;1293912;1293913;1293914;1293915;1293916;1293917;1293918;1293919;1293920;1293921;236;444178,Brucella ovis;Brucella ovis ATCC 25840;Brucella ovis 63/96;Brucella ovis 80/125;Brucella ovis 81/8;Brucella ovis F8/05B;Brucella ovis IntaBari-2009-88-3;Brucella ovis IntaBari-2009-88-4;Brucella ovis IntaBari-2010-47-268;Brucella ovis IntaBari-2010-47-871;Brucella ovis IntaBari-2002-82-58;Brucella ovis IntaBari-2001-319-5096;Brucella ovis IntaBari-2001-319-4082;Brucella ovis IntaBari-2008-114-542;Brucella ovis IntaBari-1993-758;Brucella ovis IntaBari-2006-46-348,0,1,pcuac_only,NA,WP_005977594.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,142,15306.7,7.871,-0.0908,0.0493,0.11268,0.00704,0.04225,0.07746,0.03521,0.07746,0.03521,0.0493,0.09859,0.07042,0.05634,0.01408,0.05634,0.02113,0.02817,0.06338,0.0493,0.09155,0.0,0.01408
ruegeria lacuscaerulensis,55218;55218;644107,Ruegeria lacuscaerulensis,0,1,pcuac_only,NA,WP_170761854.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,137,14588.51,5.39,0.1,0.05839,0.14599,0.0,0.05109,0.08029,0.05109,0.09489,0.05109,0.05109,0.0438,0.06569,0.05109,0.0219,0.0292,0.0219,0.0365,0.0365,0.06569,0.09489,0.0,0.0073
vibrio mediterranei,1219069;689;1517681;2802577;2998830;391591;662;689;689,Vibrio mediterranei,0,1,pcuac_only,NA,WP_006070201.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14090.22,5.738,0.1083,0.02273,0.11364,0.0,0.06061,0.05303,0.01515,0.04545,0.0303,0.06061,0.07576,0.08333,0.05303,0.04545,0.05303,0.0303,0.01515,0.06061,0.07576,0.12121,0.0,0.00758
shewanella baltica,22;2604451;2926851;3063537;3063538;325240;399599;402882;62322;693970;693971;693972;693973;693974;22;2855505;62322;22;2991940;407976;62322;22;3063538;3063539;62322;22;50422;62322;62322,Shewanella baltica,0,1,pcuac_only,NA,WP_006083030.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,132,14359.42,5.677,0.0705,0.03788,0.09848,0.00758,0.05303,0.06818,0.0303,0.06061,0.06061,0.04545,0.05303,0.12121,0.03788,0.02273,0.04545,0.04545,0.02273,0.03788,0.08333,0.09848,0.0,0.00758
